"NotebookName","Diag","Matrix","CPU","Memory","Hz","RAM","Ranking"
"Microsoft Surface Book 3 15",15,"IPS","Intel Core i7","256...2000",NA,"16...32",5
"Lenovo Ideapad L340-15",15.6,"IPS / TN","AMD Athlon / AMD Ryzen 3 / AMD Ryzen 5 / AMD Ryzen 7 / Intel","128...1128",NA,"4...16",4.5
"Lenovo Legion 5 15",15.6,"IPS / WVA","AMD Ryzen 3 / AMD Ryzen 5 / AMD Ryzen 7 / Intel Core",NA,"60","8...16",4.8
"Lenovo IdeaPad 5 15",15.6,"IPS / WVA","AMD Ryzen 3 / AMD Ryzen 5 / AMD Ryzen 7 / Intel Core i3 / Intel",NA,"60","4...12",4.7
"Microsoft Surface Book 3 13.5",13.5,NA,"Intel Core i5 / Intel Core i7","256...1000",NA,"8...32",4.7
"Lenovo IdeaPad 5 14",14,"IPS / TN","AMD Ryzen 5 / AMD Ryzen 7 / Intel Core i5 / Intel Core i7",NA,"60","8...16",4.5
"ASUS VivoBook 15 X512",15.6,"IPS","Apple M1",NA,"60","8...16",4.6
"Lenovo IdeaPad Gaming 3 15",15.6,"IPS","AMD Athlon Silver / AMD Ryzen 3 / AMD Ryzen 5",NA,"60","4...12",4.6
"HUAWEI MateBook D 14""",14,"IPS","AMD Ryzen 5 / Intel Core i5",NA,"60","8...16",4.7
"Apple MacBook Air 13 Late 2020",13.3,"TN","Intel Core i3 / Intel Core i5 / Intel Core i7",NA,"60","4...16",4.8
"Acer Aspire 3 A315-23",15.6,"IPS","Intel Core i5 / Intel Core i7",NA,"60...144","8...32",4.8
"Xiaomi RedmiBook 16"" Ryzen Edition",16.1,"IPS","AMD A9 / Intel Core i3 / Intel Pentium Gold","256...1000",NA,"4...8",4.7
"HONOR MagicBook Pro",16.1,"IPS","AMD Athlon / AMD Ryzen 3 / Intel Core",NA,"60","4...16",4.5
"Apple MacBook Pro 13 Late 2020",13.3,"IPS","AMD Athlon Gold / AMD Athlon Silver / AMD Ryzen","128...512",NA,"4...16",4.7
"ASUS Zenbook 14 UX431",14,"IPS","Intel Core i5",NA,"60","8...16",4.5
"Lenovo Legion Y540-15",15.6,"IPS","Intel Core i3 / Intel Core i5 / Intel Core i7",NA,"60","8...16",4.6
"ASUS TUF Gaming FX505",15.6,"IPS","Intel Core i5 / Intel Core i7",NA,"60","4...16",4.6
"Lenovo Yoga Slim 7 15",15.6,"IPS / TN","Apple M1","256...2000",NA,"8...16",4.7
"Lenovo IdeaPad C340-14",14,"IPS","Intel Core i5 / Intel Core i7",NA,"60","8...16",4.4
"HUAWEI MateBook D 15.6""",15.6,"IPS","AMD Ryzen 5",NA,"60","8",4.7
"Lenovo Yoga Slim 7 14",14,"IPS","Intel Core i3 / Intel Core i5 / Intel Core i7","256...1000",NA,"4...16",4.2
"MSI GF63 Thin 9SCXR",15.6,"IPS","AMD Athlon / AMD Athlon Silver / AMD Ryzen 3 / AMD Ryzen",NA,"60","4...12",4.7
"Xiaomi RedmiBook 14""",14,"IPS","AMD Ryzen 3 / AMD Ryzen 5","256...512",NA,"8",4.6
"Apple MacBook Air 13 Early 2020",13.3,"IPS","AMD Ryzen 5 / AMD Ryzen 7",NA,"60","8...16",4.7
"ASUS VivoBook 15 A543",15.6,"IPS / TN / WVA","Intel Core i5 / Intel Core i7","256...4000",NA,"8...32",4.9
"Lenovo Ideapad Gaming L340-15",15.6,"IPS","Intel Core i5 / Intel Core i7",NA,"120...144","8...16",4.6
"HONOR MagicBook 14",14,"IPS","AMD Athlon Gold / AMD Athlon Silver / AMD Ryzen 3 / AMD Ryzen 5",NA,"60","4...8",4.7
"Xiaomi Mi Notebook Pro 15.6 GTX",15.6,"IPS","AMD Ryzen 5 / AMD Ryzen 7 / Intel Core i5",NA,"60...144","8...32",4.7
"ASUS VivoBook 14 M413",14,"TN","Intel Core i7","256...2000",NA,"16...32",4.6
