"Year","Trade.Flow","Commodity.Code","Netweight..kg."
"2010","Imports","801",64857
"2010","Exports","801",9293578
"2010","Re-exports","801",66608
"2010","Re-imports","801",0
"2011","Imports","801",54517
"2011","Exports","801",11610460
"2011","Re-exports","801",72828
"2011","Re-imports","801",0
"2012","Imports","801",82250
"2012","Exports","801",11781846.5
"2012","Re-exports","801",0
"2012","Re-imports","801",0
"2013","Imports","801",74120
"2013","Exports","801",19743650
"2013","Re-exports","801",0
"2013","Re-imports","801",156
"2014","Imports","801",193973
"2014","Exports","801",31592956
"2014","Re-exports","801",0
"2014","Re-imports","801",0
"2015","Imports","801",391464
"2015","Exports","801",14426557
"2015","Re-exports","801",0
"2015","Re-imports","801",0
"2016","Imports","801",110328
"2016","Exports","801",43922256
"2016","Re-exports","801",0
"2016","Re-imports","801",0
"2017","Imports","801",177395
"2017","Exports","801",31719157
"2017","Re-exports","801",34040
"2017","Re-imports","801",0
"2018","Imports","801",218628
"2018","Exports","801",32149854
"2018","Re-exports","801",0
"2018","Re-imports","801",0
"2019","Imports","801",358167
"2019","Exports","801",40279868
"2019","Re-exports","801",0
"2019","Re-imports","801",0
"2020","Imports","801",300131
"2020","Exports","801",11641523
"2020","Re-exports","801",0
"2020","Re-imports","801",0
"2010","Imports","802",2766735
"2010","Exports","802",27383304
"2010","Re-exports","802",1518124
"2010","Re-imports","802",0
"2011","Imports","802",1058198
"2011","Exports","802",22714189
"2011","Re-exports","802",1005454
"2011","Re-imports","802",0
"2012","Imports","802",16906599
"2012","Exports","802",20671974
"2012","Re-exports","802",897427
"2012","Re-imports","802",0
"2013","Imports","802",904707
"2013","Exports","802",18661352
"2013","Re-exports","802",2760587
"2013","Re-imports","802",4253
"2014","Imports","802",10977060
"2014","Exports","802",40177596
"2014","Re-exports","802",2142903
"2014","Re-imports","802",1000
"2015","Imports","802",11086043
"2015","Exports","802",9342281
"2015","Re-exports","802",613948
"2015","Re-imports","802",0
"2016","Imports","802",3477339
"2016","Exports","802",44974028
"2016","Re-exports","802",245169
"2016","Re-imports","802",0
"2017","Imports","802",3417341
"2017","Exports","802",14439861
"2017","Re-exports","802",259754
"2017","Re-imports","802",43000
"2018","Imports","802",1628024
"2018","Exports","802",17985902
"2018","Re-exports","802",330927
"2018","Re-imports","802",59976
"2019","Imports","802",1963448.5
"2019","Exports","802",32449062
"2019","Re-exports","802",26650
"2019","Re-imports","802",0
"2020","Imports","802",3036762
"2020","Exports","802",23012123
"2020","Re-exports","802",252840
"2020","Re-imports","802",0
"2010","Imports","803",5981954
"2010","Exports","803",1086687370
"2010","Re-exports","803",0
"2010","Re-imports","803",0
"2011","Imports","803",12684639
"2011","Exports","803",1258700259
"2011","Re-exports","803",0
"2011","Re-imports","803",0
"2012","Imports","803",47877541
"2012","Exports","803",1149128556.5
"2012","Re-exports","803",0
"2012","Re-imports","803",0
"2013","Imports","803",73638046
"2013","Exports","803",1323452611
"2013","Re-exports","803",0
"2013","Re-imports","803",0
"2014","Imports","803",32321262
"2014","Exports","803",1297843606
"2014","Re-exports","803",0
"2014","Re-imports","803",0
"2015","Imports","803",29869509
"2015","Exports","803",3229346
"2015","Re-exports","803",0
"2015","Re-imports","803",0
"2016","Imports","803",30852253
"2016","Exports","803",1360278275
"2016","Re-exports","803",0
"2016","Re-imports","803",0
"2017","Imports","803",52485249
"2017","Exports","803",1529201624
"2017","Re-exports","803",0
"2017","Re-imports","803",0
"2018","Imports","803",58327494
"2018","Exports","803",890707519
"2018","Re-exports","803",0
"2018","Re-imports","803",0
"2019","Imports","803",73995882
"2019","Exports","803",1343291165
"2019","Re-exports","803",0
"2019","Re-imports","803",0
"2020","Imports","803",23032643
"2020","Exports","803",1106377670
"2020","Re-exports","803",0
"2020","Re-imports","803",0
"2010","Imports","804",73890
"2010","Exports","804",70865111
"2010","Re-exports","804",229929
